,w5_p_outcome,w5_hhid,pid,w5_p_proxyassent,w5_p_intrv_d,w5_p_intrv_m,w5_p_intrv_y,w5_p_intrv_c,w5_p_refexpl,w5_p_refexpl_o,w5_p_refint,w5_p_refgen,w5_p_refage,w5_p_respid,w5_p_resprox,w5_p_resprox_o,w5_p_sample,w5_p_duration,w5_p_dob_m,w5_p_dob_y,w5_p_gen,w5_p_popgrp,w5_p_popgrp_o,w5_p_parhpid,w5_p_mar,w5_p_mary_m,w5_p_mary_l,w5_p_evmar,w5_p_curmarst,w5_p_timewid,w5_p_timediv,w5_p_lng,w5_p_lng_o,w5_p_slpw,w5_p_slpm,w5_p_lvevoth,w5_p_brnprov,w5_p_brnprov_flg,w5_p_brndc_2001,w5_p_brndc_2001_flg,w5_p_brndc_2011,w5_p_brndc_2011_flg,w5_p_brncc,w5_p_brncc_flg,w5_p_lv94prov,w5_p_lv94prov_flg,w5_p_lv15prov,w5_p_lv15prov_flg,w5_p_moveyr,w5_p_lvbfprov,w5_p_lvbfdc_2001,w5_p_lvbfdc_2011,w5_p_lvbfcc,w5_p_emactcur,w5_p_emactcur_o,w5_p_em1occ_isco_c,w5_p_em1prod_c,w5_p_em1inc_brac1,w5_p_em1inc_brac2,w5_p_em1inc_brac3,w5_p_em1inc_brac4,w5_p_em1inc_brac5,w5_p_em1inc_brac6,w5_p_em1inc_cat,w5_p_incgovpen,w5_p_incgovpen_v,w5_p_incdis,w5_p_incdis_v,w5_p_incchld,w5_p_incchld_v,w5_p_incfos,w5_p_incfos_v,w5_p_inccare,w5_p_inccare_v,w5_p_incaid,w5_p_incaid_v,w5_p_incwar,w5_p_incwar_v,w5_p_incuif,w5_p_incuif_v,w5_p_incwc,w5_p_incwc_v,w5_p_incpfnd,w5_p_incpfnd_v,w5_p_incret,w5_p_incret_v,w5_p_incretp,w5_p_incretp_v,w5_p_incrnt,w5_p_incrnt_v,w5_p_incint,w5_p_incint_v,w5_p_incretr,w5_p_incretr_v,w5_p_incinh,w5_p_incinh_v,w5_p_inclob,w5_p_inclob_v,w5_p_incgif,w5_p_incgif_v,w5_p_incloan,w5_p_incloan_v,w5_p_incsale,w5_p_incsale_v,w5_p_inco,w5_p_inco_o,w5_p_inco_v,w5_p_grcur,w5_p_grcurtyp,w5_p_grcurecpid,w5_p_grcurecrel,w5_p_edschgrd,w5_p_edschgrd_flg,w5_p_edschgrd_o,w5_p_edschyr,w5_p_edschyr_flg,w5_p_edschage,w5_p_edter,w5_p_edter_flg,w5_p_edterlev,w5_p_edterlev_o,w5_p_edteryr,w5_p_ed17cur,w5_p_ed17curatt,w5_p_ed17curlev,w5_p_ed17curlev_o,w5_p_ed17cursub,w5_p_ed17cursub_o,w5_p_ed17curmat,w5_p_ed17wdex,w5_p_hldes,w5_p_hltb,w5_p_hlbp,w5_p_hldia,w5_p_hlstrk,w5_p_hlast,w5_p_hlhrt,w5_p_hlcan,w5_p_hlser,w5_p_hlser1,w5_p_hlser2,w5_p_hlser3,w5_p_hlser4,w5_p_hlser_o,w5_p_hlvisaid,w5_p_hlhraid,w5_p_intlng1,w5_p_intlng2,w5_p_intlng3,w5_p_intlng4,w5_p_intresp,w5_p_intrespact,w5_p_intresphear,w5_p_intrespque,w5_p_intresppid1,w5_p_intresppid2,w5_p_intresppid3,w5_p_intrvinfo
700,Successfully Interviewed,505257,724991,Yes,15th,September,2017.0,26,,,,,,724989.0,Permanently too unwell or disabled,,2008 sample,8.0,June,1988.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,2008.0,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,1+ persons within hearing range for part of the interview,No,,,,Very good
701,Successfully Interviewed,505271,754992,Yes,1st,November,2017.0,98,,,,,,718383.0,Refused but allowed a proxy,,2008 sample,8.0,May,1986.0,Male,African,,718383.0,Living together,,5.0,No,,,,Setswana,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Service and sales workers,"Community, social and personal services",More than,,About equal to,,,,"R6,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,Setswana,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
702,Successfully Interviewed,505279,301726,Yes,15th,March,2017.0,99,,,,,,301725.0,Away on business/for work,,2008 sample,20.0,August,1990.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,3 Nights,20 Nights,No,,,,,,,,,,,,,,,,,,Self-employed,,Technicians and associate professionals,"Financial intermediation, insurance, real estate and business services",Don't know,,,,,,Don't Know,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2008.0,Surveyed,,Yes,Surveyed,Diploma requiring Grade 12/Std. 10,,2016.0,No,No,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,Yes,No,IsiXhosa,,,,Friendly,Somewhat attentive,No other person within hearing range at any time,Yes,724057.0,301725.0,,Good
703,Successfully Interviewed,505294,726532,Yes,10th,April,2017.0,12,,,,,,702245.0,Unable to be contacted,,2008 sample,17.0,March,2001.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,7 Nights,30 Nights,Refused,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,Yes,360.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Yes,Child support grant,728679.0,Father or mother,Grade 7 (Std. 5),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 8 (Std. 6/Form 1),,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,Afrikaans,,,Friendly,Very attentive,1+ persons within hearing range for part of the interview,No,,,,"Neither good, nor bad"
704,Successfully Interviewed,505307,710133,Yes,19th,September,2017.0,87,,,,,,407156.0,Away on business/for work,,2008 sample,8.0,January,1983.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,Yes,KwaZulu-Natal,Surveyed,Sisonke District Municipality,Surveyed,Sisonke (DC43),Surveyed,,,KwaZulu-Natal,Surveyed,KwaZulu-Natal,Surveyed,2015.0,KwaZulu-Natal,Sisonke District Municipality,Sisonke (DC43),,Working for pay,,Technicians and associate professionals,Wholesale and Retail trade; repair etc;hotels and restaurants,About equal to,,,,,,"R3,000",No,,No,,Yes,380.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 9 (Std. 7/Form 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
705,Successfully Interviewed,505315,315326,Yes,27th,March,2017.0,52,,,,,,315314.0,Refused but allowed a proxy,,2008 sample,7.0,January,1981.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Other (specify),-3,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 3 (Std. 1),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
706,Successfully Interviewed,505317,408074,Yes,11th,November,2017.0,25,,,,,,501651.0,Unable to be contacted,,2008 sample,13.0,May,1999.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,Yes,KwaZulu-Natal,Surveyed,Zululand District Municipality,Surveyed,Zululand (DC26),Surveyed,,,,,KwaZulu-Natal,Derived,2016.0,KwaZulu-Natal,Zululand District Municipality,Zululand (DC26),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 11 (Std. 9/Form 4),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,"Neither good, nor bad"
707,Successfully Interviewed,505318,315552,Yes,20th,March,2017.0,33,,,,,,315590.0,Temporarily away from home for other reasons  (specify),To Look For A Job,2008 sample,9.0,November,1985.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,Yes,KwaZulu-Natal,Response from historical data,Umgungundlovu District Municipality,Response from historical data,UMgungundlovu (DC22),Response from historical data,,,KwaZulu-Natal,Response from historical data,KwaZulu-Natal,Derived,2017.0,KwaZulu-Natal,Uthukela District Municipality,Uthukela (DC23),,Unemployed and actively searching for a job in the last four weeks,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 7 (Std. 5),Surveyed,,Don't know,Surveyed,8.0,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
708,Successfully Interviewed,505318,315591,Yes,20th,March,2017.0,33,,,,,,315590.0,"In an institution (e.g. hospital, prison)",,2008 sample,13.0,September,1981.0,Female,African,,"No, spouse or partner is deceased",,,,,,2.0,,IsiZulu,,7 Nights,30 Nights,Yes,KwaZulu-Natal,Surveyed,Uthukela District Municipality,Surveyed,Uthukela (DC23),Surveyed,,,KwaZulu-Natal,Response from historical data,Missing,Derived,2017.0,KwaZulu-Natal,Uthukela District Municipality,Uthukela (DC23),,Homemaker (looking after children/others/home),,,,,,,,,,,No,,No,,Yes,1050.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Don't know,Surveyed,,Missing,Surveyed,,No,Surveyed,,,,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,IsiZulu,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
709,Successfully Interviewed,505320,303486,Yes,11th,March,2017.0,115,,,,,,303375.0,"In an institution (e.g. hospital, prison)",,2008 sample,10.0,June,1991.0,Male,African,,"No, no spouse or partner",,,,No,,,,Sesotho,,0 Nights,0 Nights,No,,,,,,,,,,,,,,,,,,Other (specify),-3,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 8 (Std. 6/Form 1),Surveyed,,Don't know,Surveyed,18.0,No,Surveyed,,,,No,No,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,Sesotho,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
710,Successfully Interviewed,505322,795530,Yes,2nd,August,2017.0,90,,,,,,312677.0,Permanently too unwell or disabled,,2008 sample,10.0,July,1954.0,Female,Asian/Indian,,"No, no spouse or partner",,,,No,,,,English,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Fair,No,No,No,No,No,No,No,Yes,"Problems with sight, hearing or speech",,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
711,Successfully Interviewed,505325,582108,Yes,1st,October,2017.0,58,,,,,,317600.0,Temporarily away from home for other reasons  (specify),"He Is Always Busy At Work, He Doesn'T Have Time So He Agreed That His Mother Can Be Interviewed Oh His Behalf.",2008 sample,16.0,March,1986.0,Male,African,,"No, partner not part of this household",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Elementary occupations,"Agriculture, hunting, forestry and fishing",Less than,About equal to,,,,,"R1,500",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 8 (Std. 6/Form 1),Surveyed,,2002.0,Surveyed,,No,Surveyed,,,,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
712,Successfully Interviewed,505327,730658,Yes,20th,October,2017.0,39,,,,,,762249.0,Too old,,2008 sample,45.0,July,1946.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 4 (Std. 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
713,Successfully Interviewed,505331,304056,Yes,5th,July,2017.0,142,,,,,,304054.0,Too old,,2008 sample,19.0,January,1938.0,Male,African,,304054.0,Formally married,37.0,,,,,,Sepedi,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Retired,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,200000.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 8 (Std. 6/Form 1),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Poor,No,No,Yes,No,No,No,No,Yes,"Problems with sight, hearing or speech",,,,,No,No,Sepedi,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,"Neither good, nor bad"
714,Successfully Interviewed,505343,799922,Yes,4th,June,2017.0,75,,,,,,785330.0,Away on business/for work,,2008 sample,10.0,January,1971.0,Male,Coloured,,785330.0,Formally married,20.0,,,,,,Afrikaans,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Service and sales workers,"Financial intermediation, insurance, real estate and business services",More than,,About equal to,,,,"R6,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 9 (Std. 7/Form 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,Afrikaans,,,,Friendly,Very attentive,1+ persons within hearing range for part of the interview,No,,,,Very good
715,Successfully Interviewed,505344,747981,Yes,27th,February,2017.0,123,,,,,,304005.0,Studying away from home,,2008 sample,10.0,July,1991.0,Female,African,,"No, no spouse or partner",,,,No,,,,Setswana,,7 Nights,30 Nights,Yes,North West,Surveyed,Bojanala District Municipality,Surveyed,Bojanala (DC37),Surveyed,,,North West,Surveyed,Missing,Derived,2008.0,North West,Bojanala District Municipality,Bojanala (DC37),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,National Certificate Vocational 2 (NCV 2),Surveyed,,2009.0,Surveyed,,No,Surveyed,,,,Yes,,Honours Degree,,Engineering,,"Yes, with matric exemption",,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,Setswana,English,,,Neither hostile nor friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
716,Successfully Interviewed,505364,410198,Yes,6th,June,2017.0,38,,,,,,410199.0,Temporarily unwell,,2008 sample,13.0,September,1998.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Unemployed and actively searching for a job in the last four weeks,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 8 (Std. 6/Form 1),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Good,No,No,No,No,No,No,No,Yes,Psychological or psychiatric disorder,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
717,Successfully Interviewed,505365,726159,Yes,15th,August,2017.0,28,,,,,,726160.0,Permanently too unwell or disabled,,2008 sample,7.0,January,1945.0,Male,African,,726158.0,Formally married,49.0,,,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Retired,,,,,,,,,,,Yes,1620.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Fair,No,No,Yes,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
718,Successfully Interviewed,505385,303617,Yes,4th,March,2017.0,126,,,,,,303615.0,Deaf or has speech problems,,2008 sample,13.0,March,1929.0,Female,African,,"No, spouse not part of this household",,20.0,,,,,,Setswana,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Response from historical data,,,,,,,,,,,,,,,,,,Fair,No,No,No,No,No,Yes,No,No,,,,,,Yes,No,Setswana,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
719,Successfully Interviewed,505390,412366,Yes,2nd,August,2017.0,126,,,,,,305233.0,Refused but allowed a proxy,,2008 sample,6.0,March,1999.0,Male,Coloured,,"No, no spouse or partner",,,,No,,,,Afrikaans,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 9 (Std. 7/Form 2),Surveyed,,2015.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 10 (Std. 8/Form 3),,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
720,Successfully Interviewed,505390,583019,Yes,20th,June,2017.0,126,,,,,,305233.0,Deaf or has speech problems,,2008 sample,6.0,August,1956.0,Male,Coloured,,"No, no spouse or partner",,,,No,,,,Afrikaans,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Response from historical data,,,,,,,,,,,,,,,,,,Poor,No,Don't know,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
721,Successfully Interviewed,505391,723178,Yes,30th,October,2017.0,32,,,,,,723176.0,Refused but allowed a proxy,,2008 sample,8.0,June,1995.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 11 (Std. 9/Form 4),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,No,No,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,IsiZulu,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
722,Successfully Interviewed,505401,582053,Yes,13th,February,2017.0,8,,,,,,307137.0,Away on business/for work,,2008 sample,28.0,February,1963.0,Male,White,,307137.0,Formally married,30.0,,,,,,Afrikaans,,7 Nights,30 Nights,Yes,Outside RSA,Surveyed,,,,,Other Africa,Surveyed,Gauteng,Surveyed,Gauteng,Derived,2011.0,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni (EKU),,Working for pay,,Technicians and associate professionals,Manufacturing,More than,,More than,,About equal to,,"R12,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,18.0,No,Surveyed,,,,,,,,,,,,Good,No,Yes,No,No,No,No,No,No,,,,,,No,No,Afrikaans,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
723,Successfully Interviewed,505403,410055,Yes,3rd,August,2017.0,53,,,,,,313557.0,Unable to be contacted,,2008 sample,9.0,December,1993.0,Male,Coloured,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 7 (Std. 5),Surveyed,,Don't know,Surveyed,14.0,No,Surveyed,,,,No,No,,,,,,,Fair,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,"Neither good, nor bad"
724,Successfully Interviewed,505422,321027,Yes,14th,May,2017.0,57,,,,,,321010.0,Unable to be contacted,,2008 sample,20.0,July,1963.0,Male,African,,321010.0,Living together,,20.0,No,,,,IsiXhosa,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,Yes,Surveyed,Certificate not requiring Grade 12/Std. 10,,Don't know,,,,,,,,,Very good,No,Yes,No,Yes,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
725,Refused/ Not Available,505424,735319,,17th,July,2017.0,81,Sickness/recent death/recent childbirth,,"Very little - they cut me short, said no thanks",Male,66.0,,,,2008 sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Successfully Interviewed,505431,758459,Yes,6th,August,2017.0,48,,,,,,773080.0,Too old,,2008 sample,8.0,January,1920.0,Female,African,,"No, spouse or partner is deceased",,,,,,Don't know,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Retired,,,,,,,,,,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Very good,No,Yes,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
727,Successfully Interviewed,505439,311295,Yes,9th,June,2017.0,115,,,,,,309207.0,Away on business/for work,,2008 sample,11.0,November,1970.0,Male,African,,309207.0,Formally married,15.0,,,,,,Sesotho,,7 Nights,30 Nights,Yes,Free State,Surveyed,Missing,Surveyed,Missing,Surveyed,,,Free State,Response from historical data,Free State,Derived,1979.0,Free State,Missing,Missing,,Working for pay,,"Plant and machine operators, and assemblers","Transport, storage and communication",More than,,More than,,Less than,,"R6,001-R11,999",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 7 (Std. 5),Surveyed,,Don't know,Surveyed,Don't know,Yes,Surveyed,Certificate not requiring Grade 12/Std. 10,,Don't know,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,Yes,No,Sesotho,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
728,Successfully Interviewed,505446,734649,Yes,19th,August,2017.0,143,,,,,,403110.0,On holiday,,2008 sample,11.0,April,1991.0,Male,White,,403110.0,Formally married,Less than 1 year,,,,,,Afrikaans,,7 Nights,31 Nights,Yes,North West,Surveyed,Southern District Municipality,Surveyed,Dr Kenneth Kaunda (DC40),Surveyed,,,North West,Surveyed,Gauteng,Derived,2007.0,North West,Southern District Municipality,Dr Kenneth Kaunda (DC40),,Working for pay,,Craft and related trades workers,Wholesale and Retail trade; repair etc;hotels and restaurants,More than,,About equal to,,,,"R6,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,2007.0,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,Afrikaans,,,,Friendly,Very attentive,1+ persons within hearing range for part of the interview,No,,,,Very good
729,Successfully Interviewed,505447,733758,Yes,7th,October,2017.0,135,,,,,,315792.0,Away on business/for work,,2008 sample,12.0,March,1977.0,Male,African,,"No, partner not part of this household",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,"Plant and machine operators, and assemblers",Wholesale and Retail trade; repair etc;hotels and restaurants,Less than,More than,,,,,"R1,501-R2,999",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
